Index,emissions/y,COMMUNITY,EARLY USER,CORE TEAM,INVESTORS,EMPLOYEES,RESERVE,TOTAL CIRC SUPPLY
53,33546.78747558603,1727095426.9500456,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,3030125729.8500457
54,28209.373331498507,1727123636.323377,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,3030153939.2233768
55,23721.16091101083,1727147357.4842877,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,3030177660.384288
56,19947.039175725546,1727167304.5234637,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,3030197607.423464
57,274815287.0,1727184077.9172018,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,3030214380.8172016
58,14104.686665749257,1727198182.6038673,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,3030228485.503867
59,11860.580455505418,1727210043.1843226,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,3030240346.0843225
60,9973.519587862775,1727220016.7039106,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,3030250319.6039104
61,274815284.0,1727228403.4007795,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,3030258706.3007793
62,274815284.0,1727095426.9500456,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,3030125729.8500457
63,5930.29022775271,1727241386.0343401,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,3030271688.93434
64,4986.759793931388,1727246372.7941341,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,3030276675.694134
65,4193.348434448257,1727250566.1425686,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,3030280869.0425687
66,3526.1716664373153,1727254092.314235,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,3030284395.214235
67,274815287.0,1727257057.4593487,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,3030287360.359349
68,2493.379896965695,1727259550.8392458,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,3030289853.739246
69,2096.674217224129,1727261647.5134633,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,3030291950.413463
70,274815286.0,1727228403.4007795,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,3030258706.3007793
71,274815284.0,1727095426.9500456,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,3030125729.8500457
72,1246.6899484828477,1727266139.8618016,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,3030296442.7618017
73,1048.3371086120646,1727267188.1989102,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,3030297491.0989103
74,881.5429166093292,1727268069.7418268,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,3030298372.6418266
75,741.2862784690893,1727268811.0281055,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,3030299113.9281054
76,274815285.0,1727269434.3730795,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,3030299737.2730794
77,524.1685543060324,1727269958.541634,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,3030300261.441634
78,440.7714583046647,1727270399.3130922,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,3030300702.2130923
79,370.6431392345447,1727270769.9562314,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,3030301072.856231
80,311.67248712071205,1727271081.6287186,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,3030301384.5287185
81,274815286.0,1727271343.7129958,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,3030301646.6129956
82,220.38572915233243,1727271564.0987248,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,3030301866.998725
83,185.32156961727242,1727271749.4202945,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,3030302052.3202944
84,155.83624356035608,1727271905.2565382,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,3030302208.156538
85,274815284.0,1727272036.2986765,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,3030302339.1986766
86,274815284.0,1727269958.541634,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,3030300261.441634
